"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Jose Calderon",3000,"SAC@CLE 12/06/2017 07:00PM ET",6.967,"CLE"
"PG","London Perrantes",3000,"SAC@CLE 12/06/2017 07:00PM ET",0,"CLE"
"PF/C","Khem Birch",3000,"ATL@ORL 12/06/2017 07:00PM ET",2.667,"ORL"
"SG/SF","Wes Iwundu",3000,"ATL@ORL 12/06/2017 07:00PM ET",3.286,"ORL"
"PF","Adreian Payne",3000,"ATL@ORL 12/06/2017 07:00PM ET",0,"ORL"
"SG/SF","Jamel Artis",3000,"ATL@ORL 12/06/2017 07:00PM ET",0,"ORL"
"SG","Nicolas Brussino",3000,"ATL@ORL 12/06/2017 07:00PM ET",1.250,"ATL"
"PG/SG","Tyler Dorsey",3000,"ATL@ORL 12/06/2017 07:00PM ET",4.188,"ATL"
"PG","Josh Magette",3000,"ATL@ORL 12/06/2017 07:00PM ET",6.188,"ATL"
"PG/SG","Wayne Selden Jr.",3000,"MEM@NY 12/06/2017 07:30PM ET",8.250,"MEM"
"SG","Kobi Simmons",3000,"MEM@NY 12/06/2017 07:30PM ET",2.000,"MEM"
"PF","Vince Hunter",3000,"MEM@NY 12/06/2017 07:30PM ET",4.000,"MEM"
"PF/C","Ivan Rabb",3000,"MEM@NY 12/06/2017 07:30PM ET",0.000,"MEM"
"PF","Isaiah Hicks",3000,"MEM@NY 12/06/2017 07:30PM ET",0,"NY"
"PG/SG","Ron Baker",3000,"MEM@NY 12/06/2017 07:30PM ET",9.643,"NY"
"PF","Luke Kornet",3000,"MEM@NY 12/06/2017 07:30PM ET",0.000,"NY"
"PG","Marcus Paige",3000,"GS@CHA 12/06/2017 08:00PM ET",2.500,"CHA"
"PF/C","Mangok Mathiang",3000,"GS@CHA 12/06/2017 08:00PM ET",2.500,"CHA"
"PF/C","Johnny O'Bryant III",3000,"GS@CHA 12/06/2017 08:00PM ET",9.406,"CHA"
"PG/SG","Julyan Stone",3000,"GS@CHA 12/06/2017 08:00PM ET",9.625,"CHA"
"SG/SF","Treveon Graham",3000,"GS@CHA 12/06/2017 08:00PM ET",10.271,"CHA"
"C","JaVale McGee",3000,"GS@CHA 12/06/2017 08:00PM ET",8.727,"GS"
"PG","Quinn Cook",3000,"GS@CHA 12/06/2017 08:00PM ET",5.167,"GS"
"PF","Chris Boucher",3000,"GS@CHA 12/06/2017 08:00PM ET",0,"GS"
"C","Damian Jones",3000,"GS@CHA 12/06/2017 08:00PM ET",0,"GS"
"SF/PF","Kevon Looney",3000,"GS@CHA 12/06/2017 08:00PM ET",9.486,"GS"
"PG/SG","Patrick Beverley",3000,"MIN@LAC 12/06/2017 10:30PM ET",25.977,"LAC"
"PG/SG","Aaron Brooks",3000,"MIN@LAC 12/06/2017 10:30PM ET",3.958,"MIN"
"SG/SF","Marcus Georges-Hunt",3000,"MIN@LAC 12/06/2017 10:30PM ET",0.917,"MIN"
"C","Justin Patton",3000,"MIN@LAC 12/06/2017 10:30PM ET",0,"MIN"
"SG/SF","Anthony Brown",3000,"MIN@LAC 12/06/2017 10:30PM ET",0,"MIN"
"C","Cole Aldrich",3000,"MIN@LAC 12/06/2017 10:30PM ET",1.150,"MIN"
"PG","Jawun Evans",3000,"MIN@LAC 12/06/2017 10:30PM ET",8.967,"LAC"
"PF/C","Brice Johnson",3000,"MIN@LAC 12/06/2017 10:30PM ET",5.542,"LAC"
"SG","C.J. Williams",3000,"MIN@LAC 12/06/2017 10:30PM ET",6.222,"LAC"
"C","Willie Reed",3000,"MIN@LAC 12/06/2017 10:30PM ET",10.345,"LAC"
"PF","Joel Bolomboy",3000,"DET@MIL 12/06/2017 08:00PM ET",3.000,"MIL"
"PF/C","D.J. Wilson",3000,"DET@MIL 12/06/2017 08:00PM ET",1.906,"MIL"
"PG/SG","Jason Terry",3000,"DET@MIL 12/06/2017 08:00PM ET",5.972,"MIL"
"SG","Sterling Brown",3000,"DET@MIL 12/06/2017 08:00PM ET",4.450,"MIL"
"PG/SF","Rashad Vaughn",3000,"DET@MIL 12/06/2017 08:00PM ET",4.750,"MIL"
"SG","Gary Payton II",3000,"DET@MIL 12/06/2017 08:00PM ET",4.000,"MIL"
"PF/C","Eric Moreland",3000,"DET@MIL 12/06/2017 08:00PM ET",7.525,"DET"
"PF/C","Jon Leuer",3000,"DET@MIL 12/06/2017 08:00PM ET",11.813,"DET"
"PF/C","Henry Ellenson",3000,"DET@MIL 12/06/2017 08:00PM ET",10.094,"DET"
"PG","Dwight Buycks",3000,"DET@MIL 12/06/2017 08:00PM ET",0,"DET"
"SF","Luis Montero",3000,"DET@MIL 12/06/2017 08:00PM ET",0,"DET"
"SG/SF","Reggie Bullock",3000,"DET@MIL 12/06/2017 08:00PM ET",7.091,"DET"
"C","Boban Marjanovic",3000,"DET@MIL 12/06/2017 08:00PM ET",8.000,"DET"
"PF","Cheick Diallo",3000,"DEN@NO 12/06/2017 08:00PM ET",5.550,"NO"
"PF","Tyler Lydon",3000,"DEN@NO 12/06/2017 08:00PM ET",0.000,"DEN"
"SF/PF","Richard Jefferson",3000,"DEN@NO 12/06/2017 08:00PM ET",3.219,"DEN"
"SG","Malik Beasley",3000,"DEN@NO 12/06/2017 08:00PM ET",6.197,"DEN"
"SG/SF","Torrey Craig",3000,"DEN@NO 12/06/2017 08:00PM ET",1.250,"DEN"
"PF","Darrell Arthur",3000,"DEN@NO 12/06/2017 08:00PM ET",2.750,"DEN"
"PG","Monte Morris",3000,"DEN@NO 12/06/2017 08:00PM ET",0,"DEN"
"C","Omer Asik",3000,"DEN@NO 12/06/2017 08:00PM ET",8.750,"NO"
