Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,Player,RosterPosition,PercentDrafted,FTPS,EntryFee,Winnings
78,1055362279,ChipotleAddict (5/5),0,103.35,P Stephen Strasburg P James Paxton OF Aaron Judge OF George Springer 3B Alex Bregman SS Didi Gregorius C Brian McCann 2B Neil Walker OF Jake Marisnick 1B Tyler Austin,Yan Gomes,C,1.18,16.0,333,0
78,1055643205,mrgoodseats (1/5),0,103.35,P Stephen Strasburg P James Paxton 2B José Altuve OF George Springer 3B Alex Bregman SS Elvis Andrus OF Marwin González 1B Justin Smoak OF Steve Pearce C Mike Marjama,Ian Kinsler,2B,1.18,0.0,333,0
80,1055521917,monds6 (4/5),0,103.3,P Jacob deGrom P Carlos Carrasco OF Khris Davis 1B Matt Olson 3B Matt Chapman SS Marcus Semien C Brian McCann OF Matt Joyce OF Steve Pearce 2B Yangervis Solarte,Shin-soo Choo,OF,1.18,2.0,333,0
81,1055270798,dandydon (3/3),0,102.6,P Carlos Carrasco P Luis Castillo OF Mike Trout 2B José Altuve OF George Springer 3B Alex Bregman OF Justin Upton SS Marwin González C Evan Gattis 1B Luis Valbuena,Kyle Seager,3B,1.18,0.0,333,0
82,1055333395,Wieties49,0,102.55,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Mike Trout 2B José Altuve SS Carlos Correa C Gary Sánchez 3B Alex Bregman 1B Justin Smoak OF Matt Joyce,Rajai Davis,OF,1.18,4.0,333,0
83,1055471453,brpunkrmax,0,102.05,P Lance McCullers Jr. P Luis Castillo OF Giancarlo Stanton 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B Alex Bregman 1B Luis Valbuena OF Billy McKinney,Stephen Piscotty,OF,1.18,7.0,333,0
84,1055624618,anilprao88 (5/5),0,100.8,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Aaron Judge OF George Springer SS Marwin González C Evan Gattis 2B Neil Walker 3B J.D. Davis 1B Tyler Austin,Matt Chapman,3B,1.18,12.0,333,0
85,1055362277,ChipotleAddict (3/5),0,100.55,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Aaron Judge 2B José Altuve OF George Springer SS Carlos Correa C Gary Sánchez 3B J.D. Davis 1B Tyler Austin,Adam Frazier,2B,1.18,0.0,333,0
86,1055608561,Moogie (2/2),0,99.85,P Stephen Strasburg P Trevor Williams OF Bryce Harper 2B José Altuve OF George Springer 3B Alex Bregman OF Jay Bruce SS Marwin González C Matt Wieters 1B Matt Adams,Dexter Fowler,OF,1.18,0.0,333,0
87,1055389661,moklovin (3/3),0,99.8,P Jacob deGrom P Luis Castillo OF Mike Trout C Gary Sánchez OF Justin Upton 2B Ian Kinsler 1B Joey Gallo SS Elvis Andrus 3B Adrián Beltré OF Shin-soo Choo,René Rivera,C,1.18,12.0,333,0
