"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Ike Anigbogu",3000,"TOR@IND 03/15/2018 07:00PM ET",3.125,"IND"
"SF","Alex Poythress",3000,"TOR@IND 03/15/2018 07:00PM ET",2.636,"IND"
"SF/PF","TJ Leaf",3000,"TOR@IND 03/15/2018 07:00PM ET",5.354,"IND"
"PF/C","Al Jefferson",3000,"TOR@IND 03/15/2018 07:00PM ET",14.025,"IND"
"SF","Ben Moore",3000,"TOR@IND 03/15/2018 07:00PM ET",1.375,"IND"
"PG","Edmond Sumner",3000,"TOR@IND 03/15/2018 07:00PM ET",0,"IND"
"PF","Caleb Swanigan",3000,"CLE@POR 03/15/2018 10:00PM ET",5.8,"POR"
"C","Georgios Papagiannis",3000,"CLE@POR 03/15/2018 10:00PM ET",6.531,"POR"
"PF/C","Meyers Leonard",3000,"CLE@POR 03/15/2018 10:00PM ET",7.15,"POR"
"PG/SG","Wade Baldwin IV",3000,"CLE@POR 03/15/2018 10:00PM ET",1.75,"POR"
"SF/PF","Jake Layman",3000,"CLE@POR 03/15/2018 10:00PM ET",2.845,"POR"
"SG","CJ Wilcox",3000,"CLE@POR 03/15/2018 10:00PM ET",0,"POR"
"PG","London Perrantes",3000,"CLE@POR 03/15/2018 10:00PM ET",1.292,"CLE"
"SG/SF","Pat Connaughton",3000,"CLE@POR 03/15/2018 10:00PM ET",11.313,"POR"
"SG/SF","Timothe Luwawu-Cabarrot",3000,"PHI@NY 03/15/2018 07:30PM ET",9.837,"PHI"
"SG","James Young",3000,"PHI@NY 03/15/2018 07:30PM ET",4.4,"PHI"
"PG","Demetrius Jackson",3000,"PHI@NY 03/15/2018 07:30PM ET",2.854,"PHI"
"SG/SF","Furkan Korkmaz",3000,"PHI@NY 03/15/2018 07:30PM ET",3.583,"PHI"
"PG/SG","Ron Baker",3000,"PHI@NY 03/15/2018 07:30PM ET",8.259,"NY"
"C","Joakim Noah",3000,"PHI@NY 03/15/2018 07:30PM ET",5.929,"NY"
"PF/C","Kristaps Porzingis",3000,"PHI@NY 03/15/2018 07:30PM ET",39.094,"NY"
"SF/PF","Lance Thomas",3000,"PHI@NY 03/15/2018 07:30PM ET",9.23,"NY"
"PF","Isaiah Hicks",3000,"PHI@NY 03/15/2018 07:30PM ET",4.625,"NY"
"SG/SF","Damyean Dotson",3000,"PHI@NY 03/15/2018 07:30PM ET",5.728,"NY"
"PF/C","Brice Johnson",3000,"CHI@MEM 03/15/2018 08:00PM ET",5.617,"MEM"
"PG","Mike Conley",3000,"CHI@MEM 03/15/2018 08:00PM ET",28.771,"MEM"
"C","Omer Asik",3000,"CHI@MEM 03/15/2018 08:00PM ET",5.054,"CHI"
"PG","Jerian Grant",3000,"CHI@MEM 03/15/2018 08:00PM ET",20.3,"CHI"
"PG","Ryan Arcidiacono",3000,"CHI@MEM 03/15/2018 08:00PM ET",4.096,"CHI"
"SF/PF","Paul Zipser",3000,"CHI@MEM 03/15/2018 08:00PM ET",9.417,"CHI"
"PG","Briante Weber",3000,"CHI@MEM 03/15/2018 08:00PM ET",7.115,"MEM"
"SF/PF","Sam Dekker",3000,"LAC@HOU 03/15/2018 08:00PM ET",8.907,"LAC"
